股票名稱,日期,股數,損益,交易別,買進日期,賣出日期,買進單價,賣出單價,手續費,交易稅,買進價金,賣出價金,報酬率,幣別
"永豐台灣ESG","2022/11/22","100","13","現股","2022/09/22","2022/11/22","12.57","12.73","2","1","1,258","1,271","1.03%","台幣"
"元大高股息","2023/05/25","200","236","現股","2022/08/29","2023/05/25","28.52","29.75","4","5","5,706","5,942","4.14%","台幣"
"元大高股息","2023/05/25","100","158","現股","2022/09/19","2023/05/25","28.13","29.75","2","3","2,814","2,972","5.61%","台幣"
"元大台灣高息低波","2023/05/25","100","340","現股","2022/09/07","2023/05/25","39.5","42.97","2","4","3,951","4,291","8.61%","台幣"
"元大台灣高息低波","2023/05/25","100","420","現股","2022/12/08","2023/05/25","38.7","42.97","2","4","3,871","4,291","10.85%","台幣"
"元大台灣高息低波","2023/05/25","100","594","現股","2022/12/20","2023/05/25","36.97","42.97","4","4","3,698","4,292","16.06%","台幣"
"國泰永續高股息","2023/05/25","200","210","現股","2022/06/20","2023/05/25","16.97","18.05","2","3","3,395","3,605","6.19%","台幣"
"國泰永續高股息","2023/05/25","200","306","現股","2022/07/05","2023/05/25","16.49","18.05","3","3","3,299","3,605","9.28%","台幣"
"國泰永續高股息","2023/05/25","50","101","現股","2022/07/12","2023/05/25","15.99","18.05","1","0","800","901","12.63%","台幣"
"國泰永續高股息","2023/05/25","50","83","現股","2022/09/26","2023/05/25","16.35","18.05","1","0","818","901","10.15%","台幣"
"國泰永續高股息","2023/05/25","100","174","現股","2022/11/09","2023/05/25","16.27","18.05","1","1","1,628","1,802","10.69%","台幣"
"國泰永續高股息","2023/05/25","400","373","現股","2023/02/16","2023/05/25","17.09","18.05","7","11","6,838","7,211","5.45%","台幣"
"台積電","2023/05/25","5","-146","現股","2022/03/08","2023/05/25","568","541","2","8","2,841","2,695","-5.14%","台幣"
"台積電","2023/05/25","5","-105","現股","2022/03/16","2023/05/25","560","541","2","8","2,801","2,696","-3.75%","台幣"
"台積電","2023/05/25","5","-110","現股","2022/04/11","2023/05/25","561","541","2","8","2,806","2,696","-3.92%","台幣"
"台積電","2023/05/25","5","-45","現股","2022/04/25","2023/05/25","548","541","2","8","2,741","2,696","-1.64%","台幣"
"台積電","2023/05/25","5","55","現股","2022/04/27","2023/05/25","528","541","2","8","2,641","2,696","2.08%","台幣"
"台積電","2023/05/25","5","115","現股","2022/05/26","2023/05/25","516","541","2","8","2,581","2,696","4.46%","台幣"
"台積電","2023/05/25","10","100","現股","2023/02/16","2023/05/25","529","541","4","16","5,292","5,392","1.89%","台幣"
"台積電","2023/05/25","15","405","現股","2023/04/19","2023/05/25","512","541","6","25","7,683","8,088","5.27%","台幣"
"萬海","2024/01/29","100","-849","現股","2023/06/28","2024/01/29","58.4","50.1","3","15","5,842","4,993","-14.53%","台幣"
"萬海","2024/01/29","200","924","現股","2023/11/10","2024/01/29","45.3","50.1","7","30","9,063","9,987","10.20%","台幣"
"國泰10Y+金融債","2024/03/22","1,000","98","現股","2024/02/27","2024/03/22","16.6","16.71","12","0","16,606","16,704","0.59%","台幣"
"元大高股息","2024/04/08","100","137","現股","2024/03/11","2024/04/08","38.5","39.92","2","3","3,851","3,988","3.56%","台幣"
"陽明","2024/04/26","100","-1,039","現股","2023/06/29","2024/04/26","60.2","50","3","15","6,022","4,983","-17.25%","台幣"
"陽明","2024/04/26","200","1,583","現股","2023/11/17","2024/04/26","41.9","50","6","30","8,383","9,966","18.88%","台幣"
"陽明","2024/04/26","200","944","現股","2024/03/20","2024/04/26","45.1","50","8","30","9,023","9,967","10.46%","台幣"
"國泰永續高股息","2024/05/10","100","57","現股","2024/03/11","2024/05/10","22.37","22.99","1","2","2,238","2,295","2.55%","台幣"
"國泰永續高股息","2024/05/10","900","604","現股","2024/03/14","2024/05/10","22.28","22.99","17","20","20,060","20,664","3.01%","台幣"
"復華台灣科技優息","2024/07/04","1,000","3,494","現股","2023/10/25","2024/07/04","17.32","20.85","14","20","17,326","20,820","20.17%","台幣"
"復華台灣科技優息","2024/07/04","1,000","1,434","現股","2024/04/23","2024/07/04","19.38","20.85","15","20","19,387","20,821","7.40%","台幣"
"復華台灣科技優息","2024/07/04","1,000","753","現股","2024/05/10","2024/07/04","20.06","20.85","16","20","20,068","20,821","3.75%","台幣"
"復華台灣科技優息","2024/07/04","7,000","4,991","現股","2024/05/13","2024/07/04","20.1","20.85","115","148","140,756","145,747","3.55%","台幣"
"群益科技高息成長","2024/07/04","5,000","654","現股","2024/06/26","2024/07/04","10.65","10.8","42","54","53,271","53,925","1.23%","台幣"
"元大美債20年","2024/07/16","1,000","557","現股","2024/02/27","2024/07/16","29.56","30.14","23","0","29,571","30,128","1.88%","台幣"
"元大美債20年","2024/07/16","1,000","1,167","現股","2024/04/11","2024/07/16","28.95","30.14","23","0","28,961","30,128","4.03%","台幣"
"元大美債20年","2024/07/16","1,000","1,637","現股","2024/04/26","2024/07/16","28.48","30.14","23","0","28,491","30,128","5.75%","台幣"
"國泰20年美債","2024/07/16","1,000","505","現股","2024/02/27","2024/07/16","30.85","31.38","24","0","30,862","31,367","1.64%","台幣"
"國泰20年美債","2024/07/16","1,000","1,256","現股","2024/04/15","2024/07/16","30.1","31.38","24","0","30,112","31,368","4.17%","台幣"
"國泰20年美債","2024/07/16","1,000","1,777","現股","2024/04/26","2024/07/16","29.58","31.38","24","0","29,591","31,368","6.01%","台幣"
"復華台灣科技優息","2024/08/09","1,000","837","現股","2024/08/05","2024/08/09","18.2","19.07","14","19","18,207","19,044","4.60%","台幣"
"台新永續高息中小","2024/08/19","5,000","-7,554","現股","2024/07/09","2024/08/19","18.29","16.81","69","84","91,486","83,932","-8.26%","台幣"
"台新永續高息中小","2024/08/19","5,000","-6,753","現股","2024/07/17","2024/08/19","18.13","16.81","70","84","90,686","83,933","-7.45%","台幣"
"中信成長高股息","2025/09/10","1,000","35","現股","2024/07/29","2025/09/10","19.89","19.96","14","19","19,897","19,932","0.18%","台幣"
"中信成長高股息","2025/09/10","1,000","45","現股","2024/07/29","2025/09/10","19.88","19.96","14","19","19,887","19,932","0.23%","台幣"
"中信成長高股息","2025/09/10","1,000","55","現股","2024/07/29","2025/09/10","19.87","19.96","14","19","19,877","19,932","0.28%","台幣"
"中信成長高股息","2025/09/10","1,000","26","現股","2024/07/29","2025/09/10","19.9","19.96","14","19","19,907","19,933","0.13%","台幣"
"中信成長高股息","2025/09/10","1,000","226","現股","2024/07/29","2025/09/10","19.7","19.96","18","23","19,707","19,933","1.15%","台幣"
"復華台灣科技優息","2026/01/27","9,000","3,905","現股","2024/08/19","2026/01/27","19.78","20.25","143","182","178,091","181,996","2.19%","台幣"
"群益科技高息成長","2026/01/27","10,000","108","現股","2024/07/16","2026/01/27","10.73","10.76","84","107","107,342","107,450","0.10%","台幣"
"群益科技高息成長","2026/01/27","5,000","354","現股","2024/07/17","2026/01/27","10.67","10.76","42","53","53,371","53,725","0.66%","台幣"
"群益科技高息成長","2026/01/27","5,000","1,455","現股","2024/07/18","2026/01/27","10.45","10.76","42","55","52,270","53,725","2.78%","台幣"